"created_at","screen_name","text"
2020-04-25 23:00:33,"JoeBiden","Today, folks across the nation have showed their compassion by participating in our first ever #SOULSaturday.  Tune in now as we end the day with a celebration for our campaign’s one year anniversary: https://t.co/69XYQrqkzx"
2020-04-25 22:45:00,"JoeBiden","One year ago, we launched this campaign. Whether you were on #TeamJoe from day one or have joined in recent weeks — I’m incredibly grateful for your support and hope I make you proud. Together, we’re going to beat Donald Trump, unite this country, and transform our nation."
2020-04-25 22:17:44,"JoeBiden","It’s stories like these that make me so proud to be an American and make me confident that we will overcome this. Because there’s nothing the American people have been unable to accomplish when we do it together."
2020-04-25 22:17:44,"JoeBiden","After seeing the shortage of masks around the country, Marilyn decided to step up and organize efforts in Northern Virginia to make homemade masks. Because of her selfless work, countless front line workers have the masks they need to stay safe."
2020-04-25 22:17:44,"JoeBiden","Older adults are especially vulnerable to COVID-19. Recognizing that, Erica decided to organize youth in her community to buy groceries for seniors — ensuring they receive the food they need while staying safe at home. She's a true hero."
2020-04-25 22:17:44,"JoeBiden","Brien usually works at the Ford Plant in Rawsonville, Michigan, driving a semi. But when the plant started assembling much-needed ventilators, he courageously stepped up and volunteered to help. His selfless actions will no doubt save countless lives."
2020-04-25 22:17:43,"JoeBiden","John, a Facilities Maintainer from Staten Island, recently contracted and survived the coronavirus. Shortly after he recovered, a colleague contracted the virus and needed plasma to battle it. John heroically stepped up and donated his plasma to help his coworker."
2020-04-25 22:17:43,"JoeBiden","Across the country, people are stepping up and doing incredible things amid this pandemic. It’s who we are as Americans—in times of crisis, we stand as one. For #SOULSaturday, I called a few folks to thank them for all they’re doing. Here are some of their stories:"
2020-04-25 21:05:00,"JoeBiden","Tonight, we’re hosting a #SOULSaturday rally to celebrate the one-year anniversary of our campaign! Join us at 7 PM ET: https://t.co/xk0GcSpr50 https://t.co/3Bk3Dmml9e"
2020-04-25 19:05:00,"JoeBiden","We may be physically apart, but folks across the country are coming together to check in on their neighbors and thank our front line heroes. Use #SOULSaturday to show how you’re participating today. https://t.co/2IXqofhlao"
2020-04-25 13:40:49,"JoeBiden","When I announced my campaign one year ago today, I said we were in a battle for the soul of the nation.

One year later, that is as true as it has ever been. I believe we can and we will emerge from this crisis a stronger, better, and fairer nation. Together, as one America. https://t.co/OpLWsvUc39"
2020-04-25 00:59:00,"JoeBiden","Donald Trump needs to step up and do everything he can to give our front line workers the protective equipment they need. https://t.co/pSTfvFlyQ7"
2020-04-25 00:00:00,"JoeBiden","I know times are tough, but we have to campaign as hard as ever to take the strongest fight possible to Donald Trump. He has a lot more money than us, and we need your help to close the gap.

If you can, please chip in today: https://t.co/W6pXlZBfdN"
2020-04-24 22:58:56,"JoeBiden","Folks, to celebrate the one-year anniversary of our campaign, we'll be hosting a #SOULSaturday Rally tomorrow night! We may be physically apart, but I hope you'll join us in coming together at 7 PM ET: https://t.co/xk0GcSpr50 https://t.co/fA5ouDt4Ji"
2020-04-24 20:48:04,"JoeBiden","The health of the American people is not a joke, Mr. President. https://t.co/4jjYlULrxA"
2020-04-24 18:25:00,"JoeBiden","I can’t believe I have to say this, but please don’t drink bleach."
2020-04-24 18:00:00,"JoeBiden","Let me be clear: This crisis isn’t about you, Mr. President. https://t.co/w6Ntdc5pEy"
2020-04-24 16:28:00,"JoeBiden","Today, we remember the atrocities faced by the Armenian people in the Metz Yeghern — the Armenian Genocide. If elected, I pledge to support a resolution recognizing the Armenian Genocide and will make universal human rights a top priority. https://t.co/Afl5lMLPR3"
2020-04-24 16:00:00,"JoeBiden","No matter who you supported throughout the primary, I want you to know that you have a home in our campaign. You’re not just wanted — you’re needed. Together, we will beat Donald Trump and transform this nation.

Join us: https://t.co/gnaFCAUzju https://t.co/Yj1Ua9m8Aq"
2020-04-24 14:25:35,"JoeBiden","These folks are American heroes. https://t.co/dkmOTskx8x"
2020-04-24 01:01:00,"JoeBiden","I know this is a dark time for so many people, just know that we will get through this. We will emerge from this crisis stronger than ever before. https://t.co/42QY9zGvkk"
2020-04-24 00:41:18,"JoeBiden","UV light? Injecting disinfectant?

Here’s an idea, Mr. President: more tests. Now. And protective equipment for actual medical professionals. https://t.co/Zv4Mfs2Z4a"
2020-04-24 00:01:00,"JoeBiden","The words of a president matter — never more than in times of crisis. A president should seek to calm and heal, provide a steady hand, and a clear path forward.

Instead, this is what we get from Donald Trump: https://t.co/0H5NTAqbY3"
2020-04-23 23:01:00,"JoeBiden","Donald Trump will always put his wealthy and well-connected friends first — that should come as no surprise. But to allow the banks to do it on the backs of small business owners in the middle of a global pandemic is a new low — even for him. https://t.co/tG1rVOeZxs"
2020-04-23 22:10:00,"JoeBiden","To celebrate the one-year anniversary of our campaign, we're hosting our first #SOULSaturday this weekend. Folks across the nation will be taking time to check-in on neighbors and thank those on the front lines of this fight.

I hope you'll join us: https://t.co/45jVuvcaGf https://t.co/U4WHSkzvSb"
2020-04-23 19:45:00,"JoeBiden","As Muslim families across America and around the world celebrate the beginning of Ramadan, @DrBiden and I want to extend our best wishes to all who are observing this holy month. Ramadan Mubarak. https://t.co/mhKD5YSN85"
2020-04-23 18:02:00,"JoeBiden","Times of crisis often bring out our best. There are so many stories of good happening around the world amid the COVID-19 pandemic. Take a minute to read a few: https://t.co/sbiSVrBXhW"
2020-04-23 15:35:00,"JoeBiden","26 million people unemployed. That's not just a statistic<U+200A> — every one is a life thrown into uncertainty. Every worker left wondering when they will next see a paycheck is part of this American crisis<U+200A> —<U+200A> and Donald Trump isn't doing enough for them. https://t.co/fAzujTeMBI"
2020-04-23 02:12:15,"JoeBiden","Unlike our current president, I will always choose science over fiction. https://t.co/56J7o7mDus"
2020-04-23 01:15:00,"JoeBiden","Make no mistake: The climate crisis poses an existential threat to our future. But I know the American people have the spirit, power, and ingenuity to meet the challenge head-on. There’s nothing we’ve been unable to accomplish when we do it together."
2020-04-23 00:45:00,"JoeBiden","Workers, like grocery store cashiers, are on the front lines of this crisis risking their lives every day to combat COVID-19 and keep this country running. President Trump is refusing to do his job, but we've got to do ours. Learn more: https://t.co/Cio6Bp8GYq #ShopSmart"
2020-04-23 00:00:00,"JoeBiden","Our planet cannot afford four more years of Donald Trump."
2020-04-22 23:00:00,"JoeBiden","We have the power to change the future of our planet — and it starts at the ballot box this November. https://t.co/9COHq8TRZ8"
2020-04-22 22:30:00,"JoeBiden","This #EarthDay, let’s recommit to doing everything in our power to combat climate change. That starts with voting Donald Trump out of the White House this November."
2020-04-22 22:18:53,"JoeBiden","@OfficialJLD Stranger things have happened."
2020-04-22 21:10:00,"JoeBiden","Fifty years ago, #EarthDay began as a day of organizing that demonstrated the power of community action. This year, it’s also a reminder of everything that’s on the line if we do not get Donald Trump out of the White House. https://t.co/IkZPE983fO"
2020-04-22 19:41:00,"JoeBiden","The climate emergency requires our urgent action. As president, I will:

- Ensure we achieve a 100% clean energy economy and net-zero emissions by 2050
- Rejoin the #ParisAgreement and rally the world to go further
- Make the largest-ever investment in clean energy"
2020-04-22 18:45:17,"JoeBiden","Join me on Earth Day for a virtual town hall with special guest Al Gore — on one of the most pressing issues facing our country and the world. Tune in now: https://t.co/7RNUMZcZ3g"
2020-04-22 17:30:00,"JoeBiden","Join me on #EarthDay for a virtual town hall — on one of the most pressing issues facing the world. Tune in at 2:30 PM ET: https://t.co/xk0GcSpr50 https://t.co/bfWur90iEw"
2020-04-22 17:02:00,"JoeBiden","Throughout my career, I've been committed to the fight against climate change. And on day one as president, I'll get to work taking the drastic action we need to address this crisis. #EarthDay https://t.co/CTbTiwxI4Y"
2020-04-22 14:20:00,"JoeBiden","On #EarthDay, we're reminded that there is no more urgent crisis facing this nation, or the world, than the threat posed by climate change. We have to take drastic action before it’s too late — and that’s exactly what I will do as president.

https://t.co/FbsOsz7VzW https://t.co/4KwlWtOibd"
2020-04-22 13:20:00,"JoeBiden","Folks, we just launched a special #EarthDay episode of Here's the Deal! Governor @JayInslee joins me for a discussion on COVID-19, climate change, and why he's supporting our campaign.

Listen to the full episode now: https://t.co/gfVHzRcDXo https://t.co/DRJyrZ5njV"
2020-04-22 00:36:00,"JoeBiden","The Trump Administration promised 27 million tests by the end of March.

As of now, only 4 million have been completed. It’s unacceptable.

We can’t safely reopen the economy without scaling up testing, and we can’t effectively scale up testing unless Donald Trump does his job."
2020-04-21 23:55:00,"JoeBiden","The Paycheck Protection Program was intended to send help to the small businesses that needed it most, but President Trump adopted an approach to help his high-priced friends. We've got to do better.

Here's what I would do if I were president: https://t.co/NXMrGe56Pg"
2020-04-21 23:06:00,"JoeBiden","The right to vote is the most fundamental American right there is. We need to immediately expand vote-by-mail, online voter registration, and early voting to ensure everyone can safely exercise their right to participate in our electoral process. https://t.co/An7O2h1t9M"
2020-04-21 20:15:00,"JoeBiden","I know COVID-19 is causing many people to feel anxious about what the future holds or lonely during this time of social distancing — and that's okay, just know that you're not alone. I've asked my friend, Dr. Vivek Murthy, to share a few tips on how to get through this: https://t.co/Hx9TMlF2zP"
2020-04-21 18:40:00,"JoeBiden","This Holocaust Remembrance Day, as we remember the millions of Jews who lost their lives at the hands of the Nazi regime, we recommit to ensuring such atrocities never again occur. With anti-Semitism on the rise, all of us must root out intolerance and give hate no safe harbor."
2020-04-21 15:10:00,"JoeBiden","Out of every trial and tribulation, America has always emerged stronger — and we will again. We will not be defeated."
2020-04-21 03:04:47,"JoeBiden","I am honored to have the endorsement of the League of Conservation Voters, a leading environmental advocacy organization. Climate change is an existential threat, and there is no greater challenge and opportunity facing our country and our world. https://t.co/puvpCUScSn"
2020-04-21 02:33:38,"JoeBiden","In March alone, this campaign raised $46.7 million, with 70% from online donations. This virus has changed our campaign. But it hasn't changed the unwavering support we've gotten from all of you. Together, we're going to defeat Trump. Help keep us going: https://t.co/GIzEQS0nNj"
2020-04-21 00:10:00,"JoeBiden","The President needs to stop blaming others and do his job."
2020-04-20 23:08:28,"JoeBiden","Tune in now as @fred_guttenberg hosts a town hall on gun violence with #StudentsForBiden, 21 years after the Columbine High School massacre: https://t.co/NG2kU7dpYp"
2020-04-20 22:18:00,"JoeBiden","No kid should fear for their life at school &amp; no parent should worry whether their kid will come home safe. Today, 21 years after the Columbine shooting, @fred_guttenberg will host a town hall with students on how we can end this epidemic. Tune in at 7 PM: https://t.co/xk0GcSpr50 https://t.co/BDwrDawWnJ"
2020-04-20 21:25:00,"JoeBiden","The office of the presidency comes with the ultimate responsibility for the biggest decisions in the world. Every great president throughout our history has met that duty with the leadership it demands. Donald Trump has not. https://t.co/Dn9Gj50Dev"
2020-04-20 20:32:00,"JoeBiden","Like many families, we have had to find new ways to stay connected while we're physically apart. We've been video chatting with our grandchildren a lot and decided to record one to share with you all. Take a look: https://t.co/1pGtQGcDhj"
2020-04-20 19:01:38,"JoeBiden","On #SOULSaturday, folks will be doing everything from sewing masks and hosting food drives to writing letters to first responders and making calls to check in on neighbors. We are all in this together–and I hope you'll join us by signing up to take action: https://t.co/rRADhp4Usl"
2020-04-20 19:01:38,"JoeBiden","In times of crisis, Americans stand as one. We lend a hand to our neighbors and take care of those in need. It's who we are. In that spirit, and to celebrate the one-year anniversary of our campaign, we're hosting S.O.U.L. of the Nation Saturday this weekend."
2020-04-20 17:00:00,"JoeBiden","We have to come together to make Donald Trump a one-term president. Once we do that, we will not only do the hard work of rebuilding this nation — we will transform it and create a better future for all."
