"created_at","screen_name","text"
2020-02-27 00:16:19,"JoeBiden","I'm glad this bill — overdue now for more than a century — has passed.

Congress' failure to act on lynching will forever be a stain on the institution, but living up to the founding principles of our nation means fully coming to terms with the sins of our past. https://t.co/qjdGBvmW2T"
2020-02-26 23:40:00,"JoeBiden","In 1994, I took on the @NRA to pass a 10-year ban on assault weapons and high-capacity magazines. The ban saved lives — and Republicans should have never let it expire.

As president, I’ll ban them once again. We will get these weapons of war out of our communities. https://t.co/4ciJQTNxvR"
2020-02-26 22:34:53,"JoeBiden","I’m a union guy and always have been. I stand with @UFCW — and as president, I’ll invest in American workers.

We need to protect good American jobs and make sure our economy works for all Americans. https://t.co/1U8mj9DYTQ"
2020-02-26 21:31:11,"JoeBiden","The evidence is clear: we can’t wait to take action on climate change. We have to get Donald Trump out of the White House and tackle this crisis head-on. The survival of our planet depends on it. https://t.co/dGrNxYizHG"
2020-02-26 20:14:00,"JoeBiden","We need policies that allow Black Americans to create wealth. And we need policies that will let them pass it down from generation to generation. https://t.co/Dc9kxquzij"
2020-02-26 17:54:00,"JoeBiden","We need to put a black woman on the Supreme Court."
2020-02-26 16:52:00,"JoeBiden","I know that with folks like Bernice and the Reckoning Crew, we will win the battle for the soul of our nation. I'm so grateful to have them on our team.

Join them and get involved in your community: https://t.co/GCxsKwomFH https://t.co/M6m9pkP3vh"
2020-02-26 15:08:11,"JoeBiden","Jim Clyburn is a voice of powerful moral clarity that is heard loud and clear across this country — in our capital and beyond. He reminds us why we’re in public service in the first place — and I’m proud to have his support. https://t.co/6Lh970vjYu"
2020-02-26 04:18:42,"JoeBiden","Team, we had a great debate tonight in South Carolina. I could use your help to keep this momentum going as we head toward the primary this Saturday. 

With just a few days left - chip in what you can, every dollar makes a difference: https://t.co/QPPg4XTJ10 https://t.co/jTRYsKk9Wx"
2020-02-26 03:58:00,"JoeBiden","Being a progressive means actually making progress. I’m the only one in this race who has beaten the NRA nationally and passed real gun safety reform — and I’ll do it again as president. #DemDebate https://t.co/i5Lq1isGG5"
2020-02-26 03:20:18,"JoeBiden","When everyone around you is shouting about health care reform but you're the only one who has gotten anything big done. https://t.co/e8T3kN5Mhb"
2020-02-26 03:05:20,"JoeBiden","Pitch in if you agree: https://t.co/v7TBhD6fyE https://t.co/maf1Q3SnHf"
2020-02-26 02:42:19,"JoeBiden","Let’s be clear: Russia is engaging in interference in this election right now, as we speak. #DemDebate"
2020-02-26 02:35:54,"JoeBiden","This moment requires strong American leadership and disciplined diplomacy to lead a global response grounded in science — Donald Trump is incapable of that. He is the worst possible person to lead our country through a global health emergency. https://t.co/U72s7aVQtd"
2020-02-26 02:32:46,"JoeBiden","We gotta make it clear: China must play by the rules. #DemDebate"
2020-02-26 02:07:34,"JoeBiden","My first effort as a county council member was doing away with redlining — and I didn’t stop there. I've fought against housing discrimination my entire career. #DemDebate"
2020-02-26 01:45:57,"JoeBiden","Gun manufacturers — if I’m elected I’m coming for you. #DemDebate"
2020-02-26 01:36:23,"JoeBiden","Progressive is getting things done. We got a lot done. - @JoeBiden #DemDebate"
2020-02-26 01:34:31,"JoeBiden","Tom Steyer invested $90 million in the nation's largest private prison company — a company that allegedly hog-tied and beat kids in South Carolina. It's despicable.

President Obama and I worked to phase out private prisons — I will fight to get rid of them as president. https://t.co/6KOxewPF2B"
2020-02-26 01:28:04,"JoeBiden","Thank you @JoeBiden for opening the debate on the issue of gun violence.  We need to force this conversation.  That was strong."
2020-02-26 01:23:01,"JoeBiden","“The #IBEW will keep pressing for the day when no working person has to fight for decent health care, but our members won’t give up the benefits they’ve fairly bargained for. @JoeBiden has our backs on this.”https://t.co/2ae9cgHzSJ #DemDebate"
2020-02-26 01:15:24,"JoeBiden","I’ve worked like the devil to earn the vote of the African American community. 

I don’t expect anything. I plan to earn the Black vote. And I’m here to ask for it. #DemDebate"
2020-02-26 01:12:01,"JoeBiden","Five. That’s how many times Senator Sanders voted AGAINST the Brady background check bill that has kept 3 million firearms out of dangerous hands.

We need a president who will stand up to the @NRA — not one who stands with them against lifesaving gun safety measures. #DemDebate"
2020-02-26 00:22:00,"JoeBiden","Ban assault weapons.

Enact universal background checks.

Hold gun manufacturers accountable.

End our gun violence epidemic."
2020-02-25 23:12:00,"JoeBiden","In 2005, I voted to allow Americans to hold gun manufacturers accountable for the death and terror they've caused in our country. 

Bernie Sanders voted to let them off the hook. https://t.co/nVMAn5xpbx"
2020-02-25 19:56:16,"JoeBiden","This moment requires strong American leadership and disciplined diplomacy to lead a global response grounded in science — Donald Trump is incapable of that. He is the worst possible person to lead our country through a global health emergency. https://t.co/U72s7aVQtd"
2020-02-25 18:30:00,"JoeBiden","With Donald Trump out of the way, there’s no limit to what America can achieve."
2020-02-25 14:45:00,"JoeBiden","The right to vote is the most fundamental American right there is. We should be making voting easier — not harder."
2020-02-25 01:45:00,"JoeBiden","This election is about more than just beating Donald Trump. It’s about:

- Replacing Betsy DeVos with an actual educator
- Having an Attorney General who defends the Constitution, not the president
- Ensuring our EPA Administrator believes climate change is an existential threat"
2020-02-25 01:10:00,"JoeBiden","Meeting Tina brightened my day — and she made a pretty good point at the end. https://t.co/tgMPk7ISGN"
2020-02-25 00:30:00,"JoeBiden","Our comeback started in Nevada. Now, we need your help to carry this momentum to South Carolina, Super Tuesday, and beyond.

Sign up to get involved in your community: https://t.co/GCxsKwFY4h https://t.co/HPgQ3O42Qq"
2020-02-24 23:31:27,"JoeBiden","America’s story is full of barrier breakers who refused to accept the status quo — Katherine Johnson is among the finest. No hindrance — not racism, sexism, or even the force of gravity — was too tall a task for her. @DrBiden and I are keeping her loved ones in our hearts. https://t.co/NIK50fJHit"
2020-02-24 22:32:07,"JoeBiden","Vanessa, I'm keeping you in my prayers today. Grief is a heavy burden to bear — especially with the eyes of the world watching. But there will come a day, I promise you, when the memory of Kobe and Gianna will bring a smile to your lips before it brings a tear to your eye. https://t.co/CktM3D0XSm"
2020-02-24 21:35:00,"JoeBiden","I think Barack Obama was one hell of a President. I was proud to stand alongside him every step of the way — and fought like hell to make sure he was re-elected.

Bernie Sanders can't say the same. https://t.co/7wM4PFUXDZ"
2020-02-24 21:01:00,"JoeBiden","I promise you that if I am elected president, we will hold gun manufacturers accountable for the carnage they have caused. https://t.co/b1HLGdFyeF"
2020-02-24 16:13:00,"JoeBiden","Housing should be a right — not a privilege. But far too many Americans lack access to affordable, quality, and safe housing. 

Today, I'm releasing my $640 billion plan to change that: https://t.co/u2xzmvjDaW"
2020-02-24 01:11:00,"JoeBiden","Donald Trump is the most corrupt president we’ve ever had — and the American people deserve to know what he’s hiding in his tax returns."
2020-02-24 00:00:00,"JoeBiden","We’re not just trying to beat Donald Trump. We’ve got to take back the Senate, keep the House of Representatives, and unite our party. https://t.co/mPfsp2hh7n"
2020-02-23 21:00:00,"JoeBiden","Over 100 million Americans with pre-existing conditions live in fear that their health care will be taken away from them. 

I promise you I will not let that happen — we will protect and build on Obamacare. https://t.co/vyx4BaiRs7"
2020-02-23 19:30:00,"JoeBiden","We need a president who will always choose compassion over cruelty."
2020-02-23 18:31:00,"JoeBiden","Americans aren’t looking for a handout. They’re just looking for a fair shot to get ahead. But too many people today aren’t getting that chance.

We have to rebuild the middle class — and this time, bring everyone along. https://t.co/i3Hw5GK4WO"
2020-02-23 16:25:00,"JoeBiden","There is nothing that the United States of America can’t do if we do it together."
